MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
C03,87297,M87297,I-I STF B CO 4THTANKBN,1702 TAHOMA AVE,YAKIMA WA,98902,16
C04,14704,null,PWST/SITE SUPPORT RENO NV,4601 COCOA AVE,LAS VEGAS NV,89506,17
C05,21444,null,PWST 4THTANKBN BOISE ID,4087 HARVARD ST BLDG 800 GOWEN FIELD,BOISE ID,83705,17
C06,81229,M81229,I-I STF BRIDGE CO B 6THENGRSPTBN 4THMLG,6TH & KEDRON AVENUE,FOLSOM PA,19033,16
C07,83279,null,MEPS JACKSON MS,664 SOUTH STATE STREET,JACKSON MS,39201,16
C08,14705,null,PWST D CO 4THRECONBN ALBUQUERQUE NM,8810 S STREET SE KIRTLAND AFB,ALBUQUERQUE NM,87117,17
C10,26834,null,MT MAITENANCE CO,2100 CLARENDON BLVD,ARLINGTON VA,22201,09
C11,14163,null,PWST A CO 1STBN 24TH MARINES GRAND RAPIDS,MCRTC 1863 MONROE AVENUE NW,GRAND RAPIDS MI,49505,17
C12,84284,M84284,I-I STF I CO 3DBN 23DMAR 4THMARDIV,8005 CAMP ROBINSON RD,LITTLE ROCK AR,72118,16
C13,14654,null,SITE SUPPORT ORLANDO FL,9500 ARMED FORCES RESERVE DRIVE SUITE 300,ORLANDO FL,32827,17
C14,29053,null,PWST/SITE SUPPORT GREENSBORO NC,AFRC 7838 MCCLOUD ROAD,GREENSBORO NC,27409,17
C15,14235,null,SITE SUPPORT (NORTH VERSAILLES) 4TH LEBN FHG,625 E PITTSBURGH/MCKEESPORT BLVD,NORTH VERSAILLES PA,15137,17
C16,82230,M82230,I-I STF E CO 4THTANKBN,7TH ARMOR DIV RD BLDG 7241,FORT KNOX KY,40121,16
C18,83314,M83314,I-I STF E CO(-) ANTI TERRORISM BN 4THMARDIV,2910 ROBERTS AVENUE,TALLAHASSEE FL,32310,16
C19,83227,M83227,I-I STF LDGSPTCO C 4TH LDGSPTBN,1050 REMOUNT ROAD BLDG 3155,NORTH CHARLESTON SC,29406,16
C21,71701,null,SITE SUPPORT WILMINGTON DE,3920 KIRKWOOD HIGHWAY,WILMINGTON DE,19808,17
