MCC,RUC,UIC,UNIT NAME,STREET ADDRESS,"CITY, STATE",ZIPCODE,DPI
M9G,01079,null,MWHS-3 NAVAVNENGRSERV UNIT (NAESU),MCAS MIRAMAR PO BOX 452050,SAN DIEGO CA,92145,03
M9H,54008,null,ARMY DEPUTY CHIEF OF STAFF LOG,3000 ARMY PENTAGON,WASHINGTON DC,20310,09
M9K,54008,null,NAVAL SUPPORT FACILITY CAMP DAVID,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
M9V,87223,null,LNO NAVAL CIVIL ENGR LAB,NCBC BLDG 6,PORT HUENEME CA,93043,16
M9Y,01074,null,NAESU LIAISON OFFICE,2D MAW MCAS NEW RIVER BOX 21011,JACKSONVILLE NC,28545,02
MA2,45232,null,NAVY ALCOHOLISM REHABILITATION CENTER,1320 PIERSEY STREET,NORFOLK VA,23511,02
MA3,87222,null,NAVY ALCOHOLISM REHAB CENTER,4122 SARATOGA AVE BLDG 20 JFTB,LOS ALAMITOS CA,90720,16
MA4,54008,null,MILITARY SEALIFT COMMAND,914 CHARLES MORRIS COURT SE BLDG 210,WASHINGTON DC,20398,09
MA5,45220,null,LNO NAVAL COASTAL SYSTEM CTR,NAS PANAMA CITY,PENSACOLA FL,32508,02
MA6,02303,null,NAESU DET,MCBH BOX 63069,KANEOHE BAY HI,96863,03
MA8,45211,null,NAVY DRUG ALCOHOL COUNSELING SCOL,140 SYLVESTER ROAD,SAN DIEGO CA,92140,03
MA9,83276,null,NAVY ALCOHOLISM REHABILITATION CENTER,NAS AFRC BLDG 938 BOX 44,JACKSONVILLE FL,32212,16
MAA,20229,null,AMMO LIAISON OFFICER COMFLTACTS,PSC 473 BOX 6,FPO AP,96349,27
MAB,85227,MS4202,USMEPCOM,2834 GREEN BAY RD,NORTH CHICAGO IL,60064,16
MAJ,20600,null,ROYAL NETHERLANDS USMC,254 BSB CMR 461,APO AE,09703,02
MAL,31001,null,NAVY ALCOHOLISM REHABILITATION UNIT,CONTACT MI FOR ADDRESS UPDATE,CAMP LEJEUNE NC,28542,02
MAM,85295,null,MILITARY AIRLIFT COMMAND HQ,SCOTT AFB,BELLEVILLE IL,62225,16
MAT,85227,null,NORTH CENTRAL SECTOR COMMAND,2834 GREEN BAY RD,NORTH CHICAGO IL,60064,16
MAU,87001,null,HQTRS WESTERN SECTOR USMEPCOM,BLDG 1808 PRESIDIO,SAN FRANCISCO CA,94129,03
MAW,80295,null,AMMO LIAISON OFFICER,NAVAL WEAPONS STATION,EARL COLTS NECK NJ,07722,16
MAX,45500,null,NAVY ALCOHOLISM REHAB UNIT,MCB BOX 555031,CAMP PENDLETON CA,92055,03
MAY,20230,null,NAVY ALCOHOL REHABILITATION UNIT,FMFPAC MCB CAMP BUTLER UNIT 35002,FPO AP,96373,27
MB1,30002,MS5111,MCNOSC,HQMCB 2032 BARNETT AVENUE,QUANTICO VA,22134,09
MB2,54026,null,MARINE CORPS EXCHANGE SERVICE BRANCH,CO B HQBN HQMC,ARLINGTON VA,22214,09
MB3,87191,MS3217,JT SERV SPT SCOL PAC (INSTR),2144 CLEMENT AVENUE,ALAMEDA CA,94501,16
MB4,45020,null,JTSVC SPT SCOL (INSTR PERS),CONTACT MI FOR ADDRESS UPDATE,POPE AFB NC,28308,02
MB5,45211,null,MARINE LIAISON DIVISION,MCRD 3800 BELLEAU WOOD,SAN DIEGO CA,92140,03
MB6,20600,null,AMMO LIAISON OFFICER,LOGISTICS DIV NAVEUR,FPO AE,09510,02
MB7,33060,000000,MCNOSC ALT NOSC,HQSPTVN MCB BOX 555031,CAMP PENDLETON CA,92055,03
MB9,54026,null,NMIC ALERT CENTER,CO B HQBN HQMC,ARLINGTON VA,22214,09
MBA,83001,null,MEPS SAN JUAN (DD FORMS 4 & 1966 ONLY),CONTACT MI FOR ADDRESS UPDATE,FPO AA,34051,02
MBC,83285,null,MEPS MIAMI,7789 NW 48TH STREET SUITE 150,MIAMI FL,33166,16
MBD,54071,null,MC SERVICE TEST OFFICER,OPERATIONAL TEST AND EVALUATION,FORT HUACHUCA AZ,85613,03
MBE,83182,null,VIEQUES LIAISON UNIT,P.O. BOX 428,CEIBA PR,00735,16
MBG,80174,null,MC TECH ADV/LN NCO AN-TPS-59 PROG,GENERAL ELECTRIC CORP,SYRACUSE NY,13211,16
MBH,87272,null,MEPS SAN DIEGO,4181 RUFFIN ROAD SUITE B,SAN DIEGO CA,92123,16
MBN,45230,null,MCLNO OP TEST/EVAL FORCE,1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
MBP,84243,null,MARINE CORPS LIAISON OFFICER,AIR FORCE TEST/EVAL CTR KITRLAND AFB,ALBUQUERQUE NM,87123,16
MBR,54008,null,TRI-SERV ALCOHOLISM REHAB FACILITY,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
MBS,80296,null,NAVELEX TECH REP FOR MIFASS,CONTACT MI FOR ADDRESS UPDATE,NORWALK CT,06856,16
MBU,06115,null,NLFS WASP,INGALLS SHIPYARD,PASCAGOULA MS,39567,02
MBY,06115,null,SUADPS OPS CRS (INSTR),NAS 330 FLETCHER ROAD SUITE 210,MERIDIAN MS,39309,02
MC1,03020,null,LNO AIR LAND FORCES APPL AGENCY,CONTACT MI FOR ADDRESS UPDATE,LANGLEY AFB VA,23665,16
MC2,84272,null,US ARMY HELO PILOT EXCH PROG,2100 NORTH NEW ROAD,WACO TX,76707,16
MC3,01243,null,MLO TACTICAL FIGHTER TRNG GRP,4440 NELLIS AIR FORCE BASE,LAS VEGAS NV,89191,03
MC4,80227,null,LNO PICATINNY ARSENAL,CONTACT MI FOR ADDRESS UPDATE,DOVER NJ,07801,16
MC5,02201,null,CENTER FOR NAVAL AVIATION TECH TRNG,MCAS MIRAMAR PO BOX 452013,SAN DIEGO CA,92145,03
MC8,45500,null,CNATT (PERM PERS),MCAS BOX 555218,CAMP PENDLETON CA,92055,03
MC9,45124,null,CNATT (PERM PERS),MCAS PSC BOX 8055,CHERRY POINT NC,28533,02
MCA,87227,null,NAVELEX SYS ENGR CTR,MARE ISLAND BLDG H-84 NAVAL SHIPYARD,VALLEJO CA,94592,16
MCB,82230,null,AMMO LNOFF,NAVAL AMMUNITION PRODUCTION ENGR CTR,CRANE IN,47522,16
MCD,83301,null,EXCHANGE PILOT,CONTACT MI FOR ADDRESS UPDATE,COLUMBIA SC,29201,16
MCF,45220,null,EXCHOFF USAF AIRGND OPS SCOL,HURLBURT AFB NATC 222 EAST AVENUE,PENSACOLA FL,32508,02
MCG,82220,M38001,MCLNO READINESS COMD ABERDEEN,ABERDEEN PROVING GND USA INSTL,ABERDEEN PROVING GROUND MD,21010,16
MCJ,87191,null,NAV SCOL PHY DIST MGMT (INSTR),NAVAL SUPPLY CTR OAKLAND ARMY BASE,OAKLAND CA,94612,16
MCK,54050,null,CANADIAN EXCHANGE PGM 161 (1),2007 ELLIOT RD,QUANTICO VA,22134,09
MCL,45644,null,LAV TEST DIRECTORATE,US ARMY PROVING GROUNDS,YUMA AZ,85364,03
MCM,06117,null,EXCHANGE PILOT,GEORGE AFB,VICTORVILLE CA,92392,03
MCN,03045,null,4THMAW GARRISON,136 JAYCEE DRIVE SUITE 20,JOHNSTOWN PA,15904,16
MCP,45740,null,MARCOR REP JSOU,7701 TAMPA POINT BLVD,MACDILL AFB FL,33621,02
MCQ,80295,null,LNO USA COMM ELEC COMD,338 NEWMAN SPRINGS ROAD,RED BANK NJ,07701,16
MCR,87230,null,USA MARINE CORPS REP PROGRAM OFFICER,NAVWPNSTA 800 SEAL BEACH BLVD BLDG 9,SEAL BEACH CA,90740,16
MCS,87274,null,NARC,MCBH BLDG 1181,KANEOHE BAY HI,96863,16
MCT,45220,null,PILOT EXCHANGE,EGLIN AFB,EGLIN AFB FL,32542,02
MCV,20021,null,NAVSTA FORD ISLAND NAVAL BRIG,2056 WASP BLVD,PEARL HARBOR HI,96860,03
MCX,87191,null,CASUAL HOSPITAL LIAISON UNIT,2144 CLEMENT AVENUE,ALAMEDA CA,94501,16
MCY,84258,null,BELL HELICOPTER TEXTRON,NMCRC 2500 TEE ANCHOR BLVD,AMARILLO TX,79104,16
MCZ,83279,null,NAVY OCEAN COMMAND,1030 BALCH BLVD,STENNIS SPACE CENTER MS,39529,16
MD3,03007,null,ISAT,NAS FT WORTH JRB BLDG 1068 RM 111,FORT WORTH TX,76127,16
MD4,81229,null,ISAT PHILADELPHIA,6TH & KEDRON AVENUE BOEING PLANT,FOLSOM PA,19033,16
MD5,20021,null,JOINT POW/MIA ACCOUNTING COMMAND (JPAC),310 WORCHESTER AVENUE BLDG 45,HICKMAN AFB HI,96853,03
MD6,52570,null,AMMUNITION LNO NCO GUANTANAMO,PSC BOX 32,FPO AE,09593,02
MD7,45020,null,USA/USMC FIRE SUPPORT EXCHANGE (NON-JOINT),CONTACT MI FOR ADDRESS UPDATE,FORT BRAGG NC,28307,02
MD8,38441,null,USA/USMC FIRE SPT EXCHANGE HQ 75,MCLB,FORT BENNING GA,31905,02
MDA,20021,null,USA/USMC FIRE SUPPORT EXCHANGE,SCHOFIELD BKS,EAST WAHIAWA HI,96857,03
MDC,06040,null,NAMO,NAS CEDAR POINT RD BLDG 102,PATUXENT RIVER MD,20670,02
MDD,46150,null,EXCHANGE OFFICER SPANISH NAVY MADRID,MADRID SPAIN,FPO AE,09641,02
MDE,45144,null,CH-46 FREST MAG-26,MCAS NEW RIVER PO BOX 21010,JACKSONVILLE NC,28545,02
MDG,30002,null,USMC ADV AMPHIB ASLT PROGRAM OFF,14041 WORTH AVE,WOODBRIDGE VA,22192,09
MDH,54008,null,LNO NAVSEASYSCOM CRYSTAL CITY,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
MDJ,20480,null,US ARMY LNO NAVSPACECOM,USAF ACADEMY,COLORADO SPRINGS CO,80840,16
MDL,87001,null,MEPS SACRAMENTO CA,3704 HOCMUTH AVE,SACRAMENTO CA,92140,03
MDM,85217,null,MSIP/BATTLE CMD TRNG STF EXCHANGE OFF,801 BLOUNTVILLE AVENUE,FORT LEAVENWORTH KS,66027,16
MDN,85217,null,BATTLE LAB LIAISON OFFICER,801 BLOUNTVILLE AVENUE,FORT LEAVENWORTH KS,66027,16
MDP,38441,null,BATTLE LAB LIAISON OFFICER,MC LOGISTICS BASE,FORT BENNING GA,31704,02
MDR,54066,null,BATTLE LAB LIAISON OFFICER USAFAS,PO BOX 810,FORT SILL OK,73503,16
MDS,82230,null,BATTLE LAB LIAISON OFFICER,7TH ARMOR DIV RD BLDG 7241,FORT KNOX KY,40121,16
MDT,01522,MS1172,CTR NAVAL AVN TECH TRNG (CNATT) (PERM PERS),MCAS PSC BOX 21036,JACKSONVILLE NC,28545,02
ME7,54008,null,JRO-CBRND,CRYSTAL DRIVE 223 23RD STREET,CRYSTAL CITY VA,22202,09
ME8,54008,null,JROC/JWCA OFFICE - PENTAGON,3000 PENTAGON,WASHINGTON DC,20318,09
ME9,20001,null,JFCOM WARFIGHTING LAB LIAISON,7025 HARBOUR VIEW SUITE 105,SUFFOLK VA,23435,02
N01,54008,null,NCS JOINT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
N04,20002,null,US MILITARY GROUP COLUMBIA,UNIT 2400,FPO AA,34012,02
N24,54062,MS4114,STRATCOM JECE JOINT BILLET,E2400 BUSH RIVER ROAD,ABERDEEN PROVING GROUND MD,21010,02
N25,54008,MS4209,DEFENSE ADVANCED RESEARCH PROJ AGENCY JT-BIL,3701 N FAIRFAX ST,ARLINGTON VA,22203,09
N26,54008,MS4106,NSC STAFF JOINT BILLET,EEOB BLDG RM 25,WASHINGTON DC,20502,09
NA1,46150,null,NATO HQ JT BILLET,OFFICE OF USMILREP PSC 80 BOX 200,APO AE,09702,02
NA2,20600,null,SUPREME ALLIED CMD EUR JT BILLET,CMR 445 PANZER KASERNE,APO AE,09046,02
NA3,46150,null,HQ ALLIED FORCES CENTRAL JT BILLET,US NAVAL ACTIVITIES,FPO AE,09502,02
NA4,20600,null,HQ ALLIED FORCES NW EUROPE JT,PSC 821 BOX 10,FPO AE,09421,02
NA5,20600,null,JOINT FORCES COMMAND JTBIL,PSC 106,APO AE,09722,02
NA6,46150,null,HQ EUCOM JT BILLET,UNIT 30400 BOX 1000,APO AE,09128,02
NA7,20600,null,NATO SACT JT BIL,CMR 445 PANZER KASERNE MONS BELGIUM,APO AE,09046,02
NA8,20600,null,US LOGISTICS COORD CTR JT BILLET,PSC 69 BOX 1000,APO AE,09707,02
NA9,46150,null,SPEC OPER TSK FORCE EUR JT BILLET,UNIT 30400 BOX 1000,APO AE,09128,02
NAA,20480,null,HQ NORAD JOINT BILLET,CONTACT MI FOR ADDRESS UPDATE,PETERSON AFB CO,80914,16
NAB,20480,null,US SPACE CMD JT BILLET,NAVY ELEMENT (J1JN) PETERSON AFB,PETERSON AFB CO,80914,16
NAC,81230,null,DEFENSE IND SUP CENTER JT BILLET,2800 SOUTH 20TH ST,PHILADELPHIA PA,19101,16
NAD,81230,null,DEFENSE PERS SPT CENTER JT BILLET,2800 SOUTH 20TH ST,PHILADELPHIA PA,19111,16
NAE,06050,null,23D NORAD/ADCOM TYNDALL AFB JT BILLET,MATSG NATC NAS,PENSACOLA FL,32508,02
NAF,54030,null,DISA FORT MEADE JTBIL,6910 COOPER AVENUE,FORT MEADE MD,20755,09
NAG,20021,null,HQ CINCPAC JT BILLET,HQMARFORPAC BOX 64022,CAMP SMITH HI,96861,03
NAH,45650,null,JICPAC,BOX 500,PEARL HARBOR HI,96860,03
NAJ,45020,null,JOINT SPECIAL OP CMD JT BIL,CONTACT MI FOR ADDRESS UPDATE,FORT BRAGG NC,28307,02
NAL,45650,null,US MILITARY ADV JT BILLET,PHILLIPINES,FPO AP,96651,03
NAM,20021,null,JUSMAG JT BILLET,CONTACT MI FOR ADDRESS UPDATE,FPO AP,96651,03
NAN,20229,null,HQ US FORCES JAPAN JT BILLET,UNIT 5068,APO AP,96328,27
NAP,54008,null,US MIL OBSERVER GROUP JTBIL,1700 NORTH MOORE ST. SUTIE 1410,ARLINGTON VA,22209,09
NAQ,54008,MS4148,JIAMDO,1851 SOUTH BELL STREET CM3 SUITE 511,ARLINGTON VA,22202,09
NAR,20002,null,HQ US SOUTHCOM JT BILLET,3511 NW 91ST AVE,MIAMI FL,33172,02
NAS,20002,null,US SOUTHCOM JIC JT BILLET,3511 NW 91ST AVE,MIAMI FL,33172,02
NAT,20002,null,US SOUTHCOM SPECIAL ACTIVITIES JT BIL,UNIT 2400,FPO AA,34012,02
NAU,45220,null,JFIIT JTBIL,104 BISCAYNE ROAD,EGLIN AFB FL,32452,02
NAV,46150,null,ALLIED JT FORCES CMD NAPLES (NATO) JTBIL,PSC 813 BOX 136,FPO AE,09620,02
NAW,20600,null,HQ ALLIED AF SO EUR JT BILLET,PSC 813,FPO AE,09620,02
NAX,20600,null,NAV STRIKING FORCES EURO,PSC 813 BOX 172,FPO AE,09620,02
NAY,46150,null,HQ NAT COORD TM AFSOUTH JT BILLET,US NAVAL SUPPORT ACTIVITY BOX 17,FPO AE,09521,02
NAZ,20600,null,DCA EUROPE JT BILLET,MARFOREUR PANZAR KASERNE GE BLDG 2901,APO AE,09046,02
NB1,54008,null,JT CHIEF OF INFO & RES JT BILLET,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NB2,54008,null,DEFENSE COMM AGENCY JT BILLET,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NB3,54008,null,NAT COMM SYS/DEF COMM AGENCY JT BIL,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NB4,54008,MS4105,DEFENSE LOGISTICS AGENCY JT BILLET,8725 JOHN KINGMAN RD,FORT BELVOIR VA,22060,09
NB5,54008,MS4106,WHITE HOUSE JT BILLET,WHITE HOUSE E. WING RM 102,WASHINGTON DC,20502,09
NB6,54026,null,OFF OF THE VICE PRESIDENT JT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
NB7,46150,null,U S MILITARY OBSERVER GROUP JT BILLET,PALESTINE,APO AE,09892,02
NB8,54008,null,OFF OF DIR NATIONAL INTEL SPT JT BIL,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NB9,54008,null,NATIONAL WAR COLLEGE JT BILLET,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NBA,46252,null,DEFENSE ATTACHE UK LONDON JTBIL,MCCDC 3300 RUSSELL ROAD SUITE 250,QUANTICO VA,22134,09
NBB,46150,null,US MIL ADVISORY GRU SP JT BILLET,PSC 61 BOX 2000,APO AE,09642,02
NBC,53100,null,EAST MEPCOM JT BILLET,EASTERN SECTOR,FORT MEADE MD,20755,09
NBD,53100,null,ELECCOMBAT ANALYST CTR JT BILLET,46 BENNION RD NAVSTA,ANNAPOLIS MD,21402,09
NBE,20600,null,NATO NSCC,CMR 450 BOX 7200,APO AE,09705,02
NBF,46252,null,JWAC USJFCOM JT BIL,4048 HIGLEY ROAD,DAHLGREN VA,22448,09
NBG,20001,null,SACLANT JT BILLET,1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
NBH,20001,null,JT STAFF NORFOLK (JT BIL),1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
NBJ,20021,null,JT POW/MIA ACCOUNTING CMD JTBIL,310 WORCHESTER AVENUE BLDG 45,HICKMAN AFB HI,96853,03
NBK,45230,null,DIA-NORFOLK (JTBIL),1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
NBL,45230,null,JOINT FORCES STAFF COLLEGE JT BIL,1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
NBM,53720,null,US SPECIAL OPERATIONS COMMAND JT BIL,7701 TAMPA POINT BLVD,MACDILL AFB FL,33621,02
NBN,46252,null,DEFENSE ATTACHE LAPAZ JTBIL,AMEMB LAPAZ DOS UNIT 3916,APO AA,34032,09
NBP,53720,null,HQ USCENTCOM JOINT BILLET,7115 SOUTH BOUNDARY BLVD,MACDILL AFB FL,33621,02
NBQ,30003,MS5122,DEFENSE ATTACHE TRIPOLI LIBYA JTBIL,SIDI SLIM AREA WALIE AL-AHED RD,APO AE,00218,09
NBR,20001,MS4102,JT STAFF-SUFFOLK (JTBIL),116 LAKEVIEW PARKWAY,SUFFOLK VA,23435,02
NBS,54026,null,OFF OF SECRETARY OF DEFENSE JT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
NBT,20002,MS4118,USODC-PA USSOUTHCOM JTBIL,USODC UNIT 3020 BOX 131,FPO AA,34036,02
NBU,54008,MS4113,DEFENSE INTEL AGENCY JT BILLET,200 MACDILL BLVD,WASHINGTON DC,20340,09
NBV,54008,null,ASST INSPECTOR GENERAL JT BILLET,2 NAVY ANNEX,WASHINGTON DC,20380,09
NBW,54008,MS4102,JOINT CHIEF OF STAFF JT BILLET,8000 JOINT STAFF PENTAGON,WASHINGTON DC,20318,09
NBX,54008,null,NAT MILITARY CMD CTR CJCS JT BIL,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
NBY,54008,null,SOUTHCOM WASH FIELD OFFICE JTBIL,1919 S EADS STREET SUITE 109,ARLINGTON VA,22202,09
NBZ,54026,null,JOINT CHIEF STAFF JT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
NC1,54077,null,JT ELECTRONIC WARCTR JT BILLET,MARCOR ADMIN DET 1320 TRUEMPER ST BLDG 9122,SAN ANTONIO TX,78236,16
NC2,59901,null,CMDR US FORCES KOREA/8TH USA JT BIL,UNIT 15708,APO AP,96205,27
NC3,59901,null,CINC UNCMCD KOREA JT BILLET,CONTACT MI FOR ADDRESS UPDATE,FPO AP,96205,27
NC4,59901,null,JOINT US MAG JT BILLET,UNIT 15708,APO AP,96205,27
NC5,81227,null,DEF CONST SUP CTR JT BILLET,3990 EAST BROAD STREET,COLUMBUS OH,43213,16
NC6,81234,null,DEFENSE SUPPLY CENTER,8000 JEFFERSON DAVIS HIGHWAY,RICHMOND VA,23297,16
NC7,81247,null,DEFENSE ELECT SUP CTR JT BILLET,2936 SHERWOOD ST BLDG 1440 WPAFB,DAYTON OH,45417,16
NC8,82230,null,MEPS LOUISVILLE JT BILLET,600 FEDERAL PLACE FED BLDG,LOUISVILLE KY,40202,16
NC9,83261,null,MEPS ATLANTA JT BILLET,1500 HOOD AVE BLDG 720,FORT GILLEM GA,30297,16
NCA,54030,null,CO B MARSPTBN NSA JT BILLET,9800 SAVAGE ROAD,FORT MEADE MD,20755,09
NCB,30003,null,NAVAL ATTACHE CANBERRA JTBIL,AMEMB CANBERRA PSC 227,APO AP,96549,09
NCC,46252,null,NAVAL ATTACHE BEIJING CHINA JTBIL,AMEMB BEIJING PSC 461 BOX 50,FPO AP,96521,09
NCD,54077,MS4128,JIOWC JT BILLET,2 HALL BLVD,SAN ANTONIO TX,78236,16
NCE,30003,null,NAVAL ATTACHE SANTO DOMINGO JTBIL,AMEMB SANTO DOMINGO DOS UNIT 5511,APO AA,34041,09
NCF,46150,MS4107,HQ ALLIED LANDCOM (JTBIL),UNIT 6875 BOX 01,APO AE,09821,02
NCG,30003,null,NAVAL ATTACHE PARIS FRANCE JTBIL,AMEMB PARIS DOS PSC 116 BOX A15,APO AE,09777,09
NCH,20480,null,USNORTHCOM ODC-MEX (JTBIL),250 VANDENBERG SUITE B016,PETERSON AFB CO,80914,16
NCJ,80221,MS4202,MEPCOM ALBANY NY JT BILLET,NMCRTC 251 RUDY CHASE DRIVE,GLENVILLE NY,12302,16
NCK,46252,null,DEFENSE ATTACHE AMERICA EMBASSY SUVA JTBIL,MCCDC 3300 RUSSELL ROAD SUITE 250,QUANTICO VA,22134,09
NCL,46252,null,DEFENSE ATTACHE JAKARTA JTBIL,AMEMB JAKARTA DOS BOX 1 UNIT 8134,APO AP,96520,09
NCM,46252,null,NAVAL ATTACHE ROME ITALY JTBIL,AMEMB ROME DOS PSC 59 BOX 100,APO AE,09624,09
NCP,82140,null,MEPCOM FARGO JT BILLET,6400 BLOOMINGTON ROAD,TWIN CITIES MN,55111,16
NCR,30003,null,NAVAL ATTACHE MEXICO CITY JTBIL,AMEMB MEXICO CITY DOS PO BOX 9000,BROWNSVILLE TX,78520,09
NCS,30002,null,NAVAL ATTACHE WARSAW JTBIL,HQMCB 3300 RUSSELL ROAD SUITE 250,QUANTICO VA,22134,09
NCT,53720,MS5804,CRYPTOLOGIC SUPPORT GROUP (JOINT BILLET),7115 SOUTH BOUNDARY BLVD,MACDILL AFB FL,33621,02
NCU,30003,null,NAVAL ATTACHE MANILA JTBIL,AMEMB PHILLIPINES DOS,FPO AP,96515,09
NCV,30003,null,MARINE ATTACHE MUSCAT OMAN,AMEMB MUSCAT UNIT 73000 BOX 9,APO AE,09890,09
NCW,30003,null,MARINE ATTACHE DAKAR SENEGAL,AMEMB DOS 2130 DAKAR PLACE,WASHINGTON DC,20521,09
NCX,30003,null,NAVAL ATTACHE ANKARA TURKEY JTBIL,AMEMB ANKARA PSC 93 BOX 5000,FPO AP,09823,09
NCY,46252,null,NAVAL ATTACHE MOSCOW JTBIL,AMEMB MOSCOW DOS PSC 77,APO AE,09721,09
NCZ,54071,null,JT TEST FT HUACHUCA JT BILLET,MARCOR ADMIN DET,FORT HUACHUCA AZ,85613,03
ND1,46150,null,EXCH OFF NORWAY LAND CMD JT BILLET,CMR 445,APO AE,09046,02
ND3,54008,null,MIL TRAFFIC MGT CMD JT BILLET,H&SBN HQMC 1555 SOUTHGATE RD,ARLINGTON VA,22214,09
ND4,54026,null,CANADIAN FOR CMD/STF COL JT BIL,CO B HQBN HQMC,ARLINGTON VA,22214,09
ND5,30002,null,LNO USA CECOM FT MONMOUTH JT BIL,HQTRS MCB,QUANTICO VA,22134,09
ND6,45650,null,ASST FIRE SPT COORD JT BILLET,SCHOFIELD BKS,EAST WAHIAWA HI,96857,03
ND7,87229,null,ASSIST FIRE SUPPORT COORD JT BILLET,BLDG 9690 MAIL STOP 105,FORT LEWIS WA,98433,16
ND8,31001,null,FIRE SPT EXCH OFF JT BIL,CONTACT MI FOR ADDRESS UPDATE,FORT BRAGG NC,28307,02
ND9,38441,null,FIRE SPT OFFICER JT BILLET,MCLB,FORT BENNING GA,31905,02
NDA,83285,null,US FORCES CARIBBEAN JT BILLET,6600 NW 27TH AVE MCRTC,MIAMI FL,33147,16
NDB,83303,null,MEPS MONTGOMERY JT BILLET,GUNTER AFB,MONTGOMERY AL,36114,16
NDC,84220,null,MEPS HOUSTON JT BILLET,PO BOX 52309,HOUSTON TX,77052,16
NDD,85225,null,ASST IG CHICAGO JT BILLET,615 W VAN BUREN ST,CHICAGO IL,60607,16
NDE,85227,null,HQ USMEPCOM JT BILLET,2834 GREEN BAY RD,NORTH CHICAGO IL,60064,16
NDF,85233,null,MEPCOM DES MOINES JT BILLET,2500 UNIVERSITY AVENUE,WEST DES MOINES IA,50266,16
NDH,85245,null,JT STRAGETIC TARGET PLAN STF JT BIL,CONTACT MI FOR ADDRESS UPDATE,OMAHA NE,68101,16
NDJ,87238,null,DEFENSE DEPOT OGDEN JT BILLET,CONTACT MI FOR ADDRESS UPDATE,OGDEN UT,84407,16
NDK,20480,null,JOINT STAFF (JCS) LIAISON JT BIL,CONTACT MI FOR ADDRESS UPDATE,PETERSON AFB CO,80914,16
NDL,46150,null,JOINT US MILITARY ADV GRP JT BILLET,PSC 108 BOX 42,APO AE,09842,02
NDM,53530,null,RJCS-7 JT DOCTRINE CTR JT BIL,US NAVAL BASE,NORFOLK VA,23511,02
NDN,54026,null,DEFENSE NUCLEAR AGENCY JT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
NDP,87191,null,MEPCOM OAKLAND JT BILLET,1515 CLAY STREET,OAKLAND CA,94612,16
NDR,83261,null,FORSCOM JT BILLET,CONTACT MI FOR ADDRESS UPDATE,FORT MCPHERSON GA,30354,16
NDS,85295,null,U S TRANSPORTATION COMMAND JT BILLET,SCOTT AFB,BELLEVILLE IL,62225,16
NDT,45740,null,USLNO UNITED ARAB EMIRATES,7115 SOUTH BOUNDARY BLVD,MACDILL AFB FL,33608,02
NDU,46150,null,NATO SCHOOL GERMANY JT BIL,MARFOREUR PANZAR KASERNE GE BLDG 2901,APO AE,09046,02
NDV,83301,null,JT MANPOWER EXCH PGM-9TH AF (JT BIL),5405 LEESBURG ROAD,EASTOVER SC,29044,16
NDW,45650,null,DISA PAC GUAM,JSRA NAVCOMIS,SANTA RITA GUAM,96537,03
NDX,45020,null,JT MANPOWER EXCH PGM-18TH AIR (JT BIL),MCB PSC BOX 20087,CAMP LEJEUNE NC,28542,02
NDY,31001,MS4102,JT STAFF-FT BRAGG (JTBIL),CONTACT MI FOR ADDRESS UPDATE,FORT BRAGG NC,28307,02
NE1,46150,null,COMMANDO TRNG CTR ROYAL MARINES JTBIL,US NAVAL ACTIVIES BOX 33,FPO AE,09510,02
NE2,45230,null,JLOTS III FT EUSTIC JT BIL,1775 FORRESTAL DRIVE,NORFOLK VA,23551,02
NE3,54026,null,ON SITE INSP AGENCY JT BILLET,CO B HQBN HQMC,ARLINGTON VA,22214,09
NE5,46150,null,MARITIME COMPONENT CMD JTBIL,NAPLES PSC 813 BOX 172,FPO AE,09521,02
NE6,54008,null,DCA FT RITCHIE MD JT BILLET,FT RITCHIE,FORT RITCHIE MD,21719,09
NE7,20021,null,SPECIAL OPERATIONS COMMAND JT BIL,BOX 64046,CAMP SMITH HI,96861,03
NE8,38740,null,JOINT TASK FORCE NORTH,USMC ADMIN DET,FORT BLISS TX,79916,16
